Month,Alien abduction (alien_terms),Area 51 (conspiracy-adjacent),Men in Black (conspiracy-adjacent),NASA UFO (government_terms),Project Blue Book (conspiracy-adjacent),Roswell (conspiracy-adjacent),U.F.O. (UFO_keywords),UAP (government_terms),UFO (UFO_keywords),UFO Pentagon (government_terms),UFO conspiracy (conspiracy-adjacent),UFO disclosure (government_terms),UFO documentary (popular_culture),UFO sighting (UFO_keywords),UFO video (popular_culture),UFOs (UFO_keywords),alien encounter (alien_terms),alien movies (popular_culture),alien sightings (popular_culture),alien spacecraft (alien_terms),congress UFO (government_terms),contact with aliens (alien_terms),extraterrestrial (alien_terms),unidentified flying object (UFO_keywords)
2016-01,25,2,17,18,2,57,8,5,22,0,20,15,16,1,3,2,31,9,32,11,1,9,25,0
2016-02,24,2,18,20,2,57,9,5,21,0,16,15,16,1,2,2,32,9,33,16,2,8,27,0
2016-03,20,2,17,17,2,59,5,5,20,0,18,12,13,1,2,2,29,8,32,13,0,9,26,0
2016-04,23,2,18,31,2,59,4,5,21,0,17,14,12,1,2,2,28,9,31,10,0,12,26,0
2016-05,23,2,17,21,2,62,8,5,22,0,15,14,16,1,3,2,27,9,36,17,0,8,27,0
2016-06,21,2,15,18,1,69,4,5,20,0,12,14,19,1,3,2,35,10,27,12,1,8,22,0
2016-07,24,3,19,100,1,67,5,4,23,0,13,15,15,1,4,2,33,10,31,16,0,11,21,0
2016-08,21,2,14,19,3,69,5,5,20,0,11,13,13,1,3,1,27,9,29,13,0,10,25,0
2016-09,20,2,15,20,2,57,5,5,19,0,15,11,12,1,3,2,26,8,28,13,1,15,26,0
2016-10,24,2,16,26,2,55,5,5,21,0,29,19,14,1,3,2,30,10,33,13,0,9,27,0
2016-11,24,2,16,21,2,54,5,4,19,0,13,23,12,1,2,2,18,11,28,12,1,10,22,0
2016-12,25,2,16,16,1,57,5,4,18,0,16,12,13,1,2,1,21,12,27,13,0,6,20,0
2017-01,23,2,16,19,1,54,4,5,21,0,12,16,13,1,4,1,26,13,29,10,1,7,22,0
2017-02,23,2,16,32,1,56,3,5,19,0,12,12,15,1,2,2,23,14,27,21,1,9,25,0
2017-03,22,2,16,22,1,60,3,6,17,0,13,10,14,1,2,2,32,15,29,9,0,14,24,0
2017-04,23,3,15,23,1,61,7,5,18,0,13,8,15,1,2,2,34,17,31,20,1,8,24,0
2017-05,22,2,16,20,2,61,3,6,18,0,16,11,19,1,2,2,36,51,34,14,0,7,24,0
2017-06,22,2,16,15,1,65,3,5,17,0,12,10,18,0,2,1,31,25,25,11,0,9,21,0
2017-07,31,2,18,14,2,65,5,5,20,0,17,11,38,1,3,2,45,21,29,18,1,9,21,0
2017-08,21,2,16,13,2,57,5,6,17,0,13,8,19,0,2,1,36,19,24,14,0,7,23,0
2017-09,18,2,15,10,1,53,5,6,16,0,12,7,24,1,2,1,26,15,25,11,0,10,27,0
2017-10,32,2,17,10,1,53,2,6,16,0,16,7,17,0,2,1,38,12,25,11,1,5,29,0
2017-11,20,2,23,12,1,51,3,5,16,0,12,6,14,0,2,1,25,11,25,14,0,9,31,0
2017-12,22,2,16,41,3,52,10,5,60,25,24,100,27,4,29,4,40,12,45,40,1,5,33,0
2018-01,21,2,16,15,2,53,7,6,21,3,12,18,21,1,7,2,37,11,25,14,1,8,27,0
2018-02,19,2,18,9,2,54,6,5,16,1,12,10,14,1,3,1,23,12,22,15,2,8,24,0
2018-03,21,2,18,12,2,58,6,5,24,1,14,11,16,1,9,2,37,14,26,15,0,8,23,0
2018-04,19,2,18,9,2,55,5,5,18,0,14,8,12,1,3,1,34,13,24,12,0,6,23,0
2018-05,17,2,22,7,1,58,4,6,16,1,16,9,12,1,2,1,28,11,20,11,0,4,23,0
2018-06,17,2,17,8,1,62,2,5,17,1,9,8,10,1,3,1,30,15,16,12,0,5,18,0
2018-07,23,2,18,7,5,64,5,5,17,0,7,5,12,0,2,1,29,13,16,8,0,8,17,0
2018-08,25,2,18,8,2,56,6,5,16,0,10,4,10,0,2,1,39,12,18,10,0,10,17,0
2018-09,19,2,17,8,5,52,4,6,17,0,10,5,9,0,2,1,26,12,17,11,0,5,19,0
2018-10,20,2,18,9,4,53,4,6,17,0,9,5,11,1,2,1,36,11,20,15,0,5,20,0
2018-11,19,2,17,21,5,50,4,5,18,0,10,5,9,1,2,1,36,10,20,100,1,4,24,0
2018-12,18,2,26,11,17,57,5,5,17,1,13,4,14,0,2,1,28,12,16,17,0,6,19,0
2019-01,18,3,19,10,100,83,6,6,17,1,13,8,15,1,2,2,38,11,20,14,0,7,22,0
2019-02,17,2,20,7,46,67,5,5,15,1,9,5,12,0,2,1,33,10,19,22,1,9,20,0
2019-03,18,2,18,7,33,67,4,5,15,1,11,3,12,0,2,1,27,11,17,13,0,8,19,0
2019-04,15,2,22,7,10,63,4,5,16,1,10,3,16,0,2,1,23,10,16,10,0,6,19,0
2019-05,16,2,30,8,9,77,5,6,23,2,11,7,16,1,4,3,25,10,18,11,1,3,21,0
